年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送,id
2016,Ｊ２,第４節第１日,03/20(日・祝),16:03,北九州,1-1,熊本,本城,3,951,スカパー！／スカパー！プレミアムサービス,18243
2016,Ｊ２,第４節第１日,03/20(日・祝),16:03,町田,2-1,金沢,町田,4,013,スカパー！／スカパー！プレミアムサービス,18240
2016,Ｊ２,第４節第１日,03/20(日・祝),16:04,愛媛,0-3,岐阜,ニンスタ,3,549,スカパー！／スカパー！プレミアムサービス,18242
2016,Ｊ２,第４節第１日,03/20(日・祝),16:04,京都,0-0,長崎,西京極,5,658,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）,18241
2016,Ｊ２,第５節第１日,03/26(土),13:03,松本,3-3,山口,松本,10,895,スカパー！／スカパー！プレミアムサービス,18246
2016,Ｊ２,第５節第１日,03/26(土),13:03,岡山,2-0,北九州,Ｃスタ,7,050,スカパー！／スカパー！プレミアムサービス,18247
2016,Ｊ２,第５節第１日,03/26(土),13:03,札幌,3-1,京都,札幌ド,9,341,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18244
2016,Ｊ２,第５節第１日,03/26(土),13:04,讃岐,1-2,徳島,ピカスタ,4,947,スカパー！／スカパー！プレミアムサービス,18248
2016,Ｊ２,第５節第１日,03/26(土),13:04,山形,0-1,清水,ＮＤスタ,7,161,スカパー！／スカパー！プレミアムサービス,18245
2016,Ｊ２,第５節第１日,03/26(土),14:04,岐阜,1-0,水戸,長良川,4,484,スカパー！／スカパー！プレミアムサービス／岐阜放送,18249
2016,Ｊ２,第５節第１日,03/26(土),15:03,千葉,0-0,群馬,フクアリ,8,555,スカパー！／スカパー！プレミアムサービス,18250
2016,Ｊ２,第５節第１日,03/26(土),16:03,東京Ｖ,0-1,町田,味スタ,5,166,スカパー！／スカパー！プレミアムサービス,18251
2016,Ｊ２,第５節第１日,03/26(土),16:03,横浜FC,0-0,愛媛,ニッパツ,2,523,スカパー！／スカパー！プレミアムサービス,18252
2016,Ｊ２,第５節第１日,03/26(土),16:04,Ｃ大阪,2-2,金沢,金鳥スタ,11,482,スカパー！／スカパー！プレミアムサービス,18253
2016,Ｊ２,第５節第１日,03/26(土),18:03,長崎,0-2,熊本,長崎県立,5,029,スカパー！／スカパー！プレミアムサービス,18254
2016,Ｊ２,第６節第１日,04/03(日),13:03,岡山,1-1,東京Ｖ,Ｃスタ,7,184,スカパー！／スカパー！プレミアムサービス,18258
2016,Ｊ２,第６節第１日,04/03(日),13:03,町田,2-0,札幌,町田,7,146,スカパー！／スカパー！プレミアムサービス,18256
2016,Ｊ２,第６節第１日,04/03(日),13:03,水戸,1-0,群馬,Ｋｓスタ,4,657,スカパー！／スカパー！プレミアムサービス,18255
2016,Ｊ２,第６節第１日,04/03(日),13:03,長崎,1-1,松本,長崎県立,4,072,スカパー！／スカパー！プレミアムサービス,18259
2016,Ｊ２,第６節第１日,04/03(日),13:03,熊本,0-2,清水,うまスタ,9,727,スカパー！／スカパー！プレミアムサービス／熊本放送,18260
2016,Ｊ２,第６節第１日,04/03(日),13:03,金沢,1-2,横浜FC,石川西部,5,018,スカパー！／スカパー！プレミアムサービス,18257
2016,Ｊ２,第６節第１日,04/03(日),14:04,徳島,1-3,岐阜,鳴門大塚,3,508,スカパー！／スカパー！プレミアムサービス,18261
2016,Ｊ２,第６節第１日,04/03(日),16:03,山口,1-0,讃岐,維新公園,5,126,スカパー！／スカパー！プレミアムサービス,18264
2016,Ｊ２,第６節第１日,04/03(日),16:04,Ｃ大阪,2-1,千葉,金鳥スタ,10,719,スカパー！／スカパー！プレミアムサービス,18263
2016,Ｊ２,第６節第１日,04/03(日),16:04,愛媛,2-1,北九州,ニンスタ,2,514,スカパー！／スカパー！プレミアムサービス,18265
2016,Ｊ２,第６節第１日,04/03(日),16:04,京都,3-2,山形,西京極,3,676,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）,18262
2016,Ｊ２,第７節第１日,04/09(土),13:03,讃岐,3-2,岐阜,ピカスタ,2,350,スカパー！／スカパー！プレミアムサービス,18267
2016,Ｊ２,第７節第１日,04/09(土),13:03,熊本,1-2,山口,うまスタ,6,731,スカパー！／スカパー！プレミアムサービス,18268
2016,Ｊ２,第７節第１日,04/09(土),13:04,山形,0-1,町田,ＮＤスタ,5,320,スカパー！／スカパー！プレミアムサービス,18266
2016,Ｊ２,第７節第１日,04/09(土),15:03,松本,1-0,徳島,松本,10,976,スカパー！／スカパー！プレミアムサービス／長野朝日放送,18270
2016,Ｊ２,第７節第１日,04/09(土),15:03,水戸,1-2,愛媛,Ｋｓスタ,4,070,スカパー！／スカパー！プレミアムサービス,18269
2016,Ｊ２,第７節第１日,04/09(土),16:03,千葉,1-0,金沢,フクアリ,9,280,スカパー！／スカパー！プレミアムサービス,18272
2016,Ｊ２,第７節第１日,04/09(土),16:03,北九州,0-4,横浜FC,本城,3,569,スカパー！／スカパー！プレミアムサービス,18273
2016,Ｊ２,第７節第１日,04/09(土),16:04,群馬,0-1,京都,正田スタ,4,160,スカパー！／スカパー！プレミアムサービス／群馬テレビ,18271
2016,Ｊ２,第７節第１日,04/09(土),18:34,清水,0-2,Ｃ大阪,アイスタ,15,083,スカパー！／スカパー！プレミアムサービス,18274
2016,Ｊ２,第７節第１日,04/09(土),19:03,札幌,1-0,岡山,札幌ド,9,467,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18275
2016,Ｊ２,第７節第２日,04/10(日),14:03,東京Ｖ,0-0,長崎,駒沢,2,752,スカパー！／スカパー！プレミアムサービス,18276
2016,Ｊ２,第８節第１日,04/16(土),16:04,群馬,0-1,岡山,正田スタ,2,641,スカパー！／スカパー！プレミアムサービス,18277
2016,Ｊ２,第８節第２日,04/17(日),13:04,清水,2-2,讃岐,アイスタ,6,552,スカパー！／スカパー！プレミアムサービス,18279
2016,Ｊ２,第８節第２日,04/17(日),13:05,徳島,1-1,山口,鳴門大塚,3,380,スカパー！／スカパー！プレミアムサービス／ＮＨＫ徳島／ＮＨＫ山口,18281
2016,Ｊ２,第８節第２日,04/17(日),13:05,岐阜,0-2,松本,長良川,6,295,スカパー！／スカパー！プレミアムサービス／岐阜放送,18280
